ts,calls_per_min,rejected_429_per_min,authorised_per_min
2026-03-17T09:00:00.000Z,459,0,394
2026-03-17T09:01:00.000Z,429,0,423
2026-03-17T09:02:00.000Z,408,0,416
2026-03-17T09:03:00.000Z,436,0,378
2026-03-17T09:04:00.000Z,400,0,427
2026-03-17T09:05:00.000Z,455,0,403
2026-03-17T09:06:00.000Z,403,0,424
2026-03-17T09:07:00.000Z,417,0,376
2026-03-17T09:08:00.000Z,430,0,380
2026-03-17T09:09:00.000Z,419,0,386
2026-03-17T09:10:00.000Z,451,0,375
2026-03-17T09:11:00.000Z,448,0,385
2026-03-17T09:12:00.000Z,431,0,403
2026-03-17T09:13:00.000Z,423,0,378
2026-03-17T09:14:00.000Z,424,0,371
2026-03-17T09:15:00.000Z,457,0,401
2026-03-17T09:16:00.000Z,448,0,380
2026-03-17T09:17:00.000Z,396,0,388
2026-03-17T09:18:00.000Z,458,0,384
2026-03-17T09:19:00.000Z,429,0,416
2026-03-17T09:20:00.000Z,456,0,429
2026-03-17T09:21:00.000Z,400,0,428
2026-03-17T09:22:00.000Z,463,0,406
2026-03-17T09:23:00.000Z,455,0,390
2026-03-17T09:24:00.000Z,408,0,424
2026-03-17T09:25:00.000Z,430,0,423
2026-03-17T09:26:00.000Z,455,0,412
2026-03-17T09:27:00.000Z,409,0,406
2026-03-17T09:28:00.000Z,904,74,387
2026-03-17T09:29:00.000Z,839,74,385
2026-03-17T09:30:00.000Z,860,74,375
2026-03-17T09:31:00.000Z,850,74,407
2026-03-17T09:32:00.000Z,835,74,372
2026-03-17T09:33:00.000Z,839,74,338
2026-03-17T09:34:00.000Z,831,74,350
2026-03-17T09:35:00.000Z,841,74,367
2026-03-17T09:36:00.000Z,846,74,329
2026-03-17T09:37:00.000Z,930,74,308
2026-03-17T09:38:00.000Z,969,74,303
2026-03-17T09:39:00.000Z,868,74,321
2026-03-17T09:40:00.000Z,842,74,311
2026-03-17T09:41:00.000Z,889,74,305
2026-03-17T09:42:00.000Z,852,74,272
2026-03-17T09:43:00.000Z,975,74,288
2026-03-17T09:44:00.000Z,875,74,259
2026-03-17T09:45:00.000Z,917,74,270
2026-03-17T09:46:00.000Z,959,74,264
2026-03-17T09:47:00.000Z,879,74,245
2026-03-17T09:48:00.000Z,893,74,243
2026-03-17T09:49:00.000Z,880,74,222
2026-03-17T09:50:00.000Z,915,74,214
2026-03-17T09:51:00.000Z,893,74,201
2026-03-17T09:52:00.000Z,886,74,211
2026-03-17T09:53:00.000Z,943,74,191
2026-03-17T09:54:00.000Z,951,74,192
2026-03-17T09:55:00.000Z,952,74,181
2026-03-17T09:56:00.000Z,857,74,165
2026-03-17T09:57:00.000Z,910,74,173
2026-03-17T09:58:00.000Z,864,74,147
2026-03-17T09:59:00.000Z,862,74,133
